Id,Name,Period,Wikipedia URL
ld1-1643399756728-1643399817509-0,John Laurens,28 Oct 1754 - 27 Aug 1782,https://en.wikipedia.org/wiki/John_Laurens
ld1-1643399756728-1643399817574-1,John Marshall,24 Sep 1755 - 6 Jul 1835,https://en.wikipedia.org/wiki/John_Marshall
ld1-1643399756728-1643399818711-1,Amerigo Vespucci,Mar 1454 - 22 Feb 1512,https://en.wikipedia.org/wiki/Amerigo_Vespucci
ld1-1643399756728-1643399818761-0,Benjamin Henry Latrobe,1 May 1764 - 3 Sep 1820,https://en.wikipedia.org/wiki/Benjamin_Henry_Latrobe
ld1-1643399756728-1643399818809-0,Thomas Loraine McKenney,21 Mar 1785 - 20 Feb 1859,https://en.wikipedia.org/wiki/Thomas_L._McKenney
ld1-1643399756728-1643399819125-0,Adolph Simon Ochs,1858 - 1935,https://en.wikipedia.org/wiki/Adolph_Simon_Ochs
ld1-1643399756728-1643399819682-1,Richard Bache,1737 - 1811,https://en.wikipedia.org/wiki/Richard_Bache
ld1-1643399756728-1643399820257-2,William George Fargo,20 May 1818 - 3 Aug 1881,https://en.wikipedia.org/wiki/William_George_Fargo
ld1-1643399756728-1643399821871-0,George Washington,22 Feb 1732 - 14 Dec 1799,https://en.wikipedia.org/wiki/George_Washington
ld1-1643399756728-1643399821872-0,George Washington,22 Feb 1732 - 14 Dec 1799,https://en.wikipedia.org/wiki/George_Washington
ld1-1643399756728-1643399821873-0,George Washington,22 Feb 1732 - 14 Dec 1799,https://en.wikipedia.org/wiki/George_Washington
ld1-1643399756728-1643399822401-1,Richard Morris Hunt,31 Oct 1827 - 31 Jul 1895,https://en.wikipedia.org/wiki/Richard_Morris_Hunt
ld1-1643399756728-1643399823121-1,Daniel Boone,11 Feb 1734 - 26 Sep 1820,https://en.wikipedia.org/wiki/Daniel_Boone
ld1-1643399756728-1643399823128-0,David Ramsay,2 Apr 1749 - 8 May 1815,https://en.wikipedia.org/wiki/David_Ramsay_(historian)
ld1-1643399756728-1643399823735-1,Eleazar Parmly,13 Mar 1797 - 13 Dec 1874,https://en.wikipedia.org/wiki/Eleazer_Parmly
ld1-1643399756728-1643399824156-1,John Vaughan,15 Jan 1756 - 30 Dec 1841,https://en.wikipedia.org/wiki/John_Vaughan_(wine_merchant)
ld1-1643399756728-1643399824167-0,Emma Catherine Embury,1806 - 1863,https://en.wikipedia.org/wiki/Emma_Catherine_Embury
ld1-1643399756728-1643399824168-0,Daniel Embury,c. 1800 - ?,-
ld1-1643399756728-1643399824184-0,Stephen Van Rensselaer III,1 Nov 1764 - 26 Jan 1839,https://en.wikipedia.org/wiki/Stephen_Van_Rensselaer_III
ld1-1643399756728-1643399824822-0,Francis Scott Key,1779 - 1843,https://en.wikipedia.org/wiki/Francis_Scott_Key
